Unnamed: 0,Mean Temp,Rel Hum,Wind Spd
844,9.2,57,17
174,19.8,57,14
867,19.6,56,22
589,30.5,64,23
1428,0.9,77,15
18,-4.5,71,24
423,7.9,60,25
1225,12.6,62,29
285,14.6,70,25
1452,-0.6,75,9
428,-3.0,68,10
1381,6.7,70,18
1356,21.5,75,17
31,-8.5,74,21
1661,27.6,75,18
1766,4.0,81,18
214,22.2,62,23
1659,25.2,84,18
326,-2.3,72,10
560,25.7,76,20
1691,22.9,66,17
832,4.7,65,25
1223,12.8,43,8
341,4.2,78,12
147,20.6,58,19
360,0.9,83,22
83,1.0,84,12
48,-11.6,75,14
468,1.5,57,8
155,19.4,76,15
1102,-11.5,64,18
1280,26.4,52,10
1592,7.1,78,35
1494,3.9,87,11
500,4.9,60,31
179,18.6,71,11
1196,2.6,76,16
1010,22.2,79,15
745,-3.7,71,11
1672,21.8,62,12
528,16.9,48,31
346,6.4,88,13
1641,19.7,62,16
1786,3.9,66,30
816,11.1,91,9
949,18.1,71,9
1752,6.6,81,14
601,23.8,59,15
916,20.5,48,10
243,23.4,76,10
864,11.9,66,24
1558,10.1,80,18
312,5.5,67,7
435,5.3,73,15
1730,15.8,62,19
1293,22.7,54,20
308,15.2,82,8
430,-2.8,69,11
660,6.1,66,34
370,-2.2,61,10
566,21.1,50,10
1101,-20.0,60,12
181,19.5,95,6
1693,24.9,73,17
621,21.3,58,15
1324,25.3,86,13
1729,16.9,66,18
932,24.3,60,14
1681,20.1,58,22
296,11.5,81,14
1061,1.6,66,15
461,1.9,77,13
1190,-1.7,51,21
1004,10.9,64,6
377,-8.8,66,25
999,25.6,65,9
105,8.6,55,12
126,16.7,53,9
1726,20.1,69,22
711,-0.2,82,21
355,9.2,89,10
1812,-9.1,72,22
682,6.7,59,22
1710,16.9,70,15
1561,1.6,61,20
209,26.3,95,6
752,3.6,93,11
140,13.9,34,18
1312,27.0,59,15
1221,14.8,57,11
937,18.3,76,9
1510,-9.9,64,12
1334,24.3,83,11
759,-4.5,62,22
1488,-12.7,71,19
733,3.1,97,13
1814,-7.4,75,17
10,-5.5,63,16
1555,2.0,66,12
1200,-1.6,84,30
282,9.9,71,12
291,7.0,53,23
626,22.0,76,11
798,0.4,51,24
730,0.1,72,23
129,20.8,84,11
1172,2.1,45,14
323,3.9,49,21
978,17.1,74,14
1080,-7.2,68,19
1582,7.5,90,10
1703,17.8,60,13
1314,24.4,79,10
741,4.1,68,27
1325,22.0,75,10
950,19.7,64,15
904,21.4,84,14
158,20.2,83,14
834,9.1,37,10
634,14.8,78,13
516,19.9,49,20
1304,19.3,73,16
597,26.0,74,13
195,17.1,95,6
1507,-5.3,66,17
931,20.3,73,10
410,-6.2,76,14
