Unnamed: 0,Mean Temp,Rel Hum,Wind Spd
1072,-1.2,52,25
1797,-4.3,80,14
546,19.9,38,13
658,13.3,89,13
1490,-19.0,59,32
1019,6.6,64,14
1526,-10.0,61,19
959,20.3,83,11
1718,14.6,83,12
283,16.9,56,20
797,5.4,49,35
1491,-18.6,61,34
225,23.7,81,15
26,-9.4,63,20
1620,19.7,48,19
437,6.2,53,21
1775,-3.9,82,26
1388,7.3,62,24
229,23.6,82,9
37,-5.4,86,10
749,1.9,87,9
1045,-3.5,60,11
1398,4.9,72,11
469,3.5,43,11
1553,3.5,48,32
1793,-2.1,77,15
687,10.8,79,8
1684,24.3,71,13
639,14.4,92,15
1572,10.7,76,7
1218,15.9,83,19
1158,-1.2,46,26
1415,1.2,91,17
1519,-12.1,71,10
1300,26.0,80,13
1666,22.5,60,12
800,-9.6,54,25
160,20.7,73,18
956,21.4,63,7
1186,-0.1,49,24
821,6.2,67,18
1543,3.6,58,19
877,15.5,82,8
913,20.6,69,16
152,13.4,68,11
1678,24.0,77,14
1626,17.2,73,21
509,20.8,35,11
1135,-8.1,81,12
1250,16.8,68,27
1527,-8.1,58,9
103,10.5,44,15
1445,1.7,83,11
1443,2.2,92,8
586,24.5,52,10
1618,19.0,51,13
1143,-4.1,68,14
53,-18.4,59,23
151,11.8,72,12
403,1.7,83,21
1770,1.4,69,15
207,25.3,95,6
1727,17.2,61,16
1122,5.0,65,23
1603,17.2,68,23
8,-10.2,73,34
1014,10.5,71,18
1642,20.8,62,16
1060,1.7,66,24
452,5.6,81,30
253,18.0,67,14
1327,21.7,78,12
896,18.3,65,11
1589,12.0,67,26
880,17.8,70,14
1722,19.3,72,13
623,15.4,68,10
345,4.8,76,7
1563,9.7,49,21
262,14.1,64,10
1321,26.0,56,16
1438,-2.9,64,18
150,9.2,84,20
472,12.5,34,8
640,16.3,89,7
1808,1.6,91,20
1719,15.6,82,19
550,21.8,45,11
928,22.6,78,11
488,8.9,68,8
1656,21.2,63,16
1171,0.0,49,23
146,23.1,66,26
1565,4.9,67,30
1757,9.1,63,19
402,1.8,72,12
954,21.1,75,15
1714,23.2,80,13
659,8.1,83,26
1372,14.6,69,28
463,0.1,56,28
1349,17.6,82,12
186,22.0,95,6
1147,6.2,79,20
1224,15.8,56,10
608,23.4,60,18
143,19.8,33,17
751,4.2,96,7
1534,4.9,80,26
981,14.0,72,19
197,18.8,95,6
883,14.9,50,18
279,15.3,74,14
293,11.1,81,9
1667,23.3,64,18
400,-0.2,63,13
122,17.2,44,13
1207,8.5,35,9
202,20.1,95,6
1462,-4.9,78,10
835,11.8,67,10
246,24.6,59,15
1439,-0.1,70,10
1733,14.9,78,21
1717,18.0,67,19
1153,6.2,53,21
1426,0.4,79,32
384,-6.0,70,15
1609,13.1,87,14
854,7.5,72,15
219,19.7,66,11
641,16.0,85,9
1,-3.6,64,18
112,1.0,64,28
698,10.3,81,14
1744,13.9,68,20
951,22.5,57,14
1602,11.3,56,19
1410,0.6,64,14
1409,-0.1,64,34
1533,5.2,78,9
1291,25.9,68,10
1653,20.5,72,14
441,6.9,65,22
1520,-7.0,70,7
1136,-5.6,84,14
1256,18.4,43,19
1702,19.9,54,19
1397,4.1,69,21
663,5.8,60,20
1677,22.3,58,18
1257,17.1,38,14
1623,16.0,51,15
317,3.4,65,19
648,7.9,63,8
1434,-3.5,67,11
1479,-13.6,68,21
709,-4.3,73,14
1382,9.2,64,8
1282,20.3,52,25
972,19.0,70,10
627,21.1,71,9
632,13.8,58,13
1306,22.0,71,9
1400,6.2,88,10
1408,2.5,83,17
1248,17.4,70,14
1779,-1.6,71,20
1254,17.4,60,14
1496,1.3,77,21
1371,14.3,87,9
1529,3.0,83,27
1354,24.0,77,8
1754,10.6,80,24
1732,11.8,69,24
1689,23.2,80,14
795,2.2,67,11
645,17.5,78,9
1012,18.0,85,9
1680,21.8,65,19
556,22.8,55,21
